"ID","ID_cuarto","ID_cuarto_opcion","lprecio","precio","vistaalmar","superficie","capacidad","aire_ac","wifi","balcon","terraza","pueblo","tv","alberca","estacionamiento","gimnasio","bar"
0,0,0,7.51534461975098,1836,0,28,2,1,1,0,0,1,1,1,1,1,0
0,1,0,7.44424867630005,1710,0,32,2,1,1,1,1,1,1,1,1,1,0
0,2,0,7.44424867630005,1710,0,47,2,1,1,0,0,1,1,1,1,1,0
0,3,0,7.6187424659729,2036,0,61,2,1,1,1,1,1,1,1,1,1,0
1,0,0,7.73543357849121,2288,0,45,2,1,1,1,1,1,1,1,1,1,0
1,1,0,7.62997579574585,2059,0,75,2,1,1,1,1,1,1,1,1,1,0
1,2,0,7.77317380905151,2376,0,90,2,1,1,1,1,1,1,1,1,1,0
1,4,0,7.77317380905151,2376,0,108,2,1,1,1,1,1,1,1,1,1,0
1,5,0,7.77317380905151,2376,0,95,2,1,1,1,1,1,1,1,1,1,0
1,6,0,7.77317380905151,2376,0,145,2,1,1,1,1,1,1,1,1,1,0
1,7,0,7.77317380905151,2376,0,122,2,1,1,1,1,1,1,1,1,1,0
1,8,0,7.77317380905151,2376,0,165,2,1,1,1,1,1,1,1,1,1,0
1,9,0,7.77317380905151,2376,0,214,2,1,1,1,1,1,1,1,1,1,0
2,0,0,8.65224838256836,5723,0,46,2,1,1,0,0,0,0,1,0,0,1
2,1,0,8.598219871521,5422,0,46,2,1,1,0,0,0,0,1,0,0,1
2,2,0,8.598219871521,5422,0,46,2,1,1,0,0,0,0,1,0,0,1
3,0,0,8.16394138336182,3512,0,35,2,1,0,0,0,0,0,0,1,0,1
3,1,0,8.4359827041626,4610,0,35,2,1,0,1,0,0,0,0,1,0,1
3,2,0,8.4359827041626,4610,0,35,2,1,0,1,0,0,0,0,1,0,1
3,3,0,8.4359827041626,4610,1,35,2,1,0,1,0,0,0,0,1,0,1
3,4,0,8.4359827041626,4610,1,45,2,1,0,1,0,0,0,0,1,0,1
4,0,0,8.7884407043457,6558,0,65,2,1,1,1,1,1,0,1,1,0,1
7,0,0,9.2421293258667,10323,0,45,2,1,1,0,1,0,0,1,1,0,1
7,1,0,9.36134338378906,11630,0,45,3,1,1,1,0,0,0,1,1,0,1
8,0,0,8.87584590911865,7157,1,40,2,1,1,0,1,0,0,1,1,0,1
8,1,0,8.82453060150146,6799,1,40,2,1,1,1,0,0,0,1,1,0,1
8,2,0,8.82453060150146,6799,1,40,2,1,1,0,1,0,0,1,1,0,1
9,0,0,8.5145902633667,4987,0,52,2,1,1,0,0,0,0,1,0,0,0
10,0,0,8.56959629058838,5269,0,35,2,1,1,1,1,0,0,1,1,0,1
10,1,0,8.79270172119141,6586,1,35,2,1,1,1,1,0,0,1,1,0,1
10,2,0,8.79270172119141,6586,1,45,2,1,1,0,0,0,0,1,1,0,1
10,3,0,8.79270172119141,6586,1,35,2,1,1,1,1,0,0,1,1,0,1
10,4,0,8.79270172119141,6586,1,60,2,1,1,1,1,0,0,1,1,0,1
11,0,0,9.20039081573486,9901,0,40,2,1,1,0,1,0,0,0,1,0,1
11,1,0,9.29118251800537,10842,0,40,4,1,1,0,1,0,0,0,1,0,1
11,2,0,9.29118251800537,10842,1,40,4,1,1,0,1,0,0,0,1,0,1
11,3,0,9.29118251800537,10842,1,40,4,1,1,0,1,0,0,0,1,0,1
12,0,0,9.40598964691162,12161,0,37,2,1,1,1,1,0,0,1,1,0,1
12,1,0,9.40598964691162,12161,0,37,2,1,1,1,1,0,0,1,1,0,1
12,2,0,9.40598964691162,12161,0,37,2,1,1,1,1,0,0,1,1,0,1
12,3,0,9.40598964691162,12161,1,37,2,1,1,1,1,0,0,1,1,0,1
13,0,0,7.5315523147583,1866,0,24,2,0,0,0,0,0,0,1,1,0,1
13,1,0,7.5315523147583,1866,0,24,2,0,0,0,0,0,0,1,1,0,1
13,2,0,7.5315523147583,1866,0,25,2,0,0,0,0,0,0,1,1,0,1
14,0,0,8.38389015197754,4376,0,20,2,1,0,1,1,0,0,0,1,0,1
14,1,0,8.38389015197754,4376,1,20,2,1,0,1,0,0,0,0,1,0,1
14,2,0,8.38389015197754,4376,1,20,2,1,0,1,0,0,0,0,1,0,1
15,0,0,8.18896675109863,3601,0,100,2,1,1,0,0,0,0,0,1,0,1
15,1,0,8.10892391204834,3324,0,220,2,1,1,0,0,0,0,0,1,0,1
15,2,0,8.10892391204834,3324,1,225,2,1,1,1,1,0,0,0,1,0,1
15,3,0,8.10892391204834,3324,0,225,2,1,1,1,1,0,0,0,1,0,1
16,0,0,9.03157234191895,8363,0,23,2,1,0,1,0,0,0,1,1,0,1
16,1,0,9.03157234191895,8363,0,23,2,1,0,1,0,0,0,1,1,0,1
16,2,0,9.03157234191895,8363,1,23,2,1,0,1,0,0,0,1,1,0,1
16,3,0,9.03157234191895,8363,1,23,2,1,0,1,0,0,0,1,1,0,1
